refdes,pin,net,kind,note
U1,1,,,spare/NC — PG6 free GPIO (per PINOUT)
U1,2,,,spare/NC — PG7 free GPIO
U1,3,I2C1_SCL,,PG8 TWI1-SCK joins the shared i2c1 bus + pull-up
U1,4,I2C1_SDA,,PG9 TWI1-SDA joins the shared i2c1 bus + pull-up
U1,5,,,spare/NC — PG10 free GPIO
U1,6,I2S1_MCLK,,PG11 I2S1-MCLK; per task guidance kept as I2S1_MCLK though MAX98357A/PCM5102A need no MCLK — effectively single-pin/static; confirm route vs static GPIO
U1,7,SD_D1,,PF0 MMC0-D1
U1,8,SD_D0,,PF1 MMC0-D0
U1,9,SD_CLK,,PF2 MMC0-CLK
U1,10,SD_CMD,,PF3 MMC0-CMD
U1,11,SD_D3,,PF4 MMC0-D3
U1,12,SD_D2,,PF5 MMC0-D2
U1,13,,,spare/NC — PF6 free GPIO
U1,14,NOR_IO3,,PC7 SPI0-HOLD/IO3 → W25Q128 U3
U1,15,NOR_IO2,,PC6 SPI0-WP/IO2 → W25Q128 U3
U1,16,NOR_IO1,,PC5 SPI0-MISO/IO1 → W25Q128 U3; also BOOT-SEL1 strap at reset
U1,17,NOR_IO0,,PC4 SPI0-MOSI/IO0 → W25Q128 U3; also BOOT-SEL0 strap at reset
U1,18,NOR_CS,,PC3 SPI0-CS0 → W25Q128 U3
U1,19,NOR_CLK,,PC2 SPI0-CLK → W25Q128 U3
U1,20,LDOA,pwr,VCC-PLL is 1.8V (datasheet Table 5-2: 1.62/1.8/1.98) — dictionary's +3V3 would overvoltage; fed from internal LDOA 1.8V rail. VERIFY vs t113-breakout
U1,21,,,spare/NC — REFCLK-OUT (WiFi clock fanout; no WiFi)
U1,22,HOSC_OUT,,DXOUT → 24MHz crystal X1 + load cap C4
U1,23,HOSC_IN,,DXIN → 24MHz crystal X1 + load cap C3
U1,24,RTC_OUT,,X32KOUT → 32.768kHz crystal X2 + load cap C6
U1,25,RTC_IN,,X32KIN → 32.768kHz crystal X2 + load cap C5
U1,26,LDOA,pwr,VCC-RTC 1.8V INPUT merged onto LDOA 1.8V rail (FIX: was floating VCC_RTC island -> RTC unpowered + RESET pull-up on dead rail). Matches breakout.
U1,27,RESET,,RESET (low-active) → reset btn R22? + 100nF + 10K pull-up to VCC_RTC(1.8V)
