Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0805,1,10uF,C17024
"C10, C13",C0603,2,4.7uF,C109456
"C11, C2",C0603,2,1uF,C106215
C12,C0603,1,10nF,C100042
"C3, C4, C5, C6, C7, C8, C9",C0603,7,100nF,C14663
H1,HDR-TH_3P-P2.54-V-M-1,1,Header-Male-2.54_1x3,C49257
H2,HDR-TH_6P-P2.54-V-M-1,1,Header-Male-2.54_1x6,C37208
H3,HDR-TH_4P-P2.54-V-M,1,KH-2.54PH180-1X4P-L11.5,C2905435
L1,L0603,1,GZ1608D601TF,C1002
LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,ME6211C33M5G-N,C82942
"R1, R2",R0603,2,5.1k,C105580
R3,R0603,1,100k,C14675
R4,R0603,1,1M,C105578
R5,R0603,1,10k,C99198
R6,R0603,1,0603WAF5100T5E,C23193
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,8,~,C318884
U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32F411RET6,C94355
U2,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U3,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,1,MAX98357AETE+T,C910544
"U4, U9",HDR-TH_5P-P2.54-V-M,2,MTP125-1105S1,C358687
U5,LED0603-RD,1,LED_GREEN,C2986027
U6,CONN-SMD_2P-P1.25_XUNPU_WAFER-MX1.25-2PWB,1,WAFER-MX1.25-2PWB,C3029359
"U7, U8",HDR-TH_20P-P2.54-V-F,2,HX PM2.54-1X20P ZC,C41417332
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
