Designator,Mid X,Mid Y,Rotation,Layer
C1,153.675,-59.15,0.0,top
C10,189.2,-104.8,180.0,top
C11,194.5,-93.0,180.0,top
C12,194.5,-94.75,180.0,top
C13,189.2,-108.4,180.0,top
C2,139.2,-59.2,270.0,top
C3,206.2,-105.6,270.0,top
C4,197.0,-110.8,180.0,top
C5,199.6,-94.1,90.0,top
C6,189.2,-99.4,180.0,top
C7,189.2,-106.6,180.0,top
C8,202.4,-110.1,270.0,top
C9,206.2,-98.75,0.0,top
H1,166.91625,-51.1,0.0,top
H2,184.8,-102.8,270.0,top
H3,200.39,-117.2,0.0,top
L1,194.525,-91.375,0.0,top
LDO1,149.35,-57.95,90.0,top
R1,143.4,-59.2,270.0,top
R2,141.0,-59.2,270.0,top
R3,201.81,-114.2,0.0,top
R4,201.81,-112.7,0.0,top
R5,206.2,-100.75,0.0,top
R6,153.1,-55.35,180.0,top
SW1,205.0,-77.85,0.0,top
SW2,196.0,-83.0,0.0,top
SW3,79.0,-82.0,0.0,top
SW4,91.0,-81.85,0.0,top
SW5,85.0,-76.0,0.0,top
SW6,85.0,-88.0,0.0,top
SW7,91.0,-110.0,0.0,top
SW8,91.0,-116.0,0.0,top
U1,197.6,-102.5,90.0,top
U2,210.0,-108.4,270.0,top
U3,198.15,-113.7,90.0,top
U4,155.32,-51.1,0.0,top
U5,153.1,-57.15,180.0,top
U6,190.4,-116.8,0.0,top
U7,104.15,-90.18,270.0,top
U8,180.35,-90.13,270.0,top
U9,210.8,-94.14,270.0,top
USBC1,142.0,-54.0,180.0,top
