Designator,Mid X,Mid Y,Rotation,Layer
C1,117.2,-73.5,180.0,top
C10,132.6,-81.3,90.0,top
C11,129.1,-81.3,270.0,top
C12,119.7,-52.1,90.0,top
C2,116.7,-76.3,180.0,top
C3,125.3,-83.0,270.0,top
C5,130.0,-74.6,0.0,top
C6,130.0,-76.3,180.0,top
C7,130.0,-78.0,0.0,top
C8,117.2,-52.6,90.0,top
C9,127.6,-52.1,270.0,top
H3,106.5,-81.94,270.0,top
H4,138.0,-81.94,270.0,top
L1,130.9,-81.3,90.0,top
R1,121.7,-86.35,270.0,top
R2,114.5,-84.9,180.0,top
R3,114.5,-81.65,0.0,top
R4,114.5,-83.3,180.0,top
U1,124.3,-52.15,0.0,top
U2,122.92625,-77.0,90.0,top
U3,114.5,-80.0,180.0,top
