Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C0402,2,22pF,C1555
"C10, C11, C12, C13, C14, C16, C17, C18, C19, C20, C21, C22, C23, C28, C3, C35, C39, C4, C44, C45, C47, C5, C6, C7, C8, C9",C0603,26,100nF,C14663
"C25, C26, C27, C29, C30, C31, C32, C41, C46",C0805,9,10uF,C1713
"C33, C34, C36",C0603,3,4.7uF,C109456
"C37, C38",C0402,2,10pF,C32949
"C42, C43",C0402,2,18pF,C1549
"H10, H11, H12, H13",HDR-TH_25P-P2.54-V-F_2044-1X25G00SA,4,2044-1X25G00SA,C49569761
"L1, L2",IND-SMD_L4.0-W4.0_LQH44PN2R2MP0L,2,2.2UH,C135262
"R1, R2",R0603,2,5.1k,C105580
"R10, R11, R12, R14, R8, R9",R0603,6,10k,C99198
R13,R0603,1,240,C23350
R3,R0603,1,680k,C140074
"R4, R5",R0603,2,150k,C22807
R6,R0603,1,75k,C23242
R7,R0603,1,510,C23193
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,TS-1187A-B-A-B,C318884
U1,LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.6,1,T113-S3_C5197687,C5197687
"U2, U7",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,2,FP6161KR-LF-ADJ,C77234
U3,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U4,TF-SMD_A-MICROTF-1.85A,1,A-MICROTF-1.85A,C22467599
U6,LED0603-RD,1,LED,C2986027
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL-2,1,X322524MRB4SI,C70571
X2,OSC-SMD_L2.0-W1.2,1,SC-20S32.768kHz20PPM12.5pF,C97607
