Designator,Mid X,Mid Y,Rotation,Layer
C1,139.05,-92.03,90.0,bottom
C10,157.05,-93.08,0.0,bottom
C11,151.05,-86.88,270.0,bottom
C12,147.85,-92.08,180.0,bottom
C13,146.25,-86.88,270.0,bottom
C14,154.05,-96.08,90.0,bottom
C16,147.85,-93.78,180.0,bottom
C17,157.05,-90.58,0.0,bottom
C18,163.05,-91.58,180.0,bottom
C19,163.05,-88.08,180.0,bottom
C2,142.05,-88.28,0.0,bottom
C20,152.3,-96.08,90.0,bottom
C21,152.9,-102.08,270.0,bottom
C22,157.05,-97.68,0.0,bottom
C23,157.05,-85.88,0.0,bottom
C25,139.85,-63.9,180.0,top
C26,148.4,-87.43,270.0,bottom
C27,164.4,-70.2,180.0,top
C28,157.05,-87.58,0.0,bottom
C29,144.272,-102.58,270.0,bottom
C3,135.65,-64.55,90.0,top
C30,139.414,-112.784,90.0,bottom
C31,162.5,-94.6,270.0,bottom
C32,157.0,-95.58,180.0,bottom
C33,140.3,-70.95,180.0,top
C34,164.9,-63.4,180.0,top
C35,163.05,-86.28,180.0,bottom
C36,147.85,-90.28,180.0,bottom
C37,156.95,-64.2,270.0,top
C38,132.55,-64.0,270.0,top
C39,151.15,-102.08,270.0,bottom
C4,136.906,-85.028,90.0,bottom
C41,140.95,-98.63,0.0,bottom
C42,139.75,-96.58,0.0,bottom
C43,139.75,-95.08,0.0,bottom
C44,146.304,-101.98,270.0,bottom
C45,147.85,-97.18,180.0,bottom
C46,149.15,-102.68,270.0,bottom
C47,153.712,-119.25,90.0,top
C5,160.05,-64.8,90.0,top
C6,147.85,-95.48,180.0,bottom
C7,141.414,-113.284,90.0,bottom
C8,154.65,-86.88,270.0,bottom
C9,163.05,-97.58,180.0,bottom
H10,124.714,-96.012,270.0,top
H11,127.254,-96.012,270.0,top
H12,172.466,-95.96,270.0,top
H13,169.926,-95.94,270.0,top
L1,139.2,-67.5,0.0,top
L2,163.8,-66.75,0.0,top
R1,146.5,-71.7,270.0,top
R10,137.414,-113.284,270.0,bottom
R11,143.414,-113.284,270.0,bottom
R12,145.414,-113.284,270.0,bottom
R13,150.4,-96.13,270.0,bottom
R14,151.712,-119.25,270.0,top
R2,149.5,-71.75,270.0,top
R3,133.95,-64.55,270.0,top
R4,131.15,-64.5,90.0,top
R5,155.55,-64.7,90.0,top
R6,158.35,-64.8,270.0,top
R7,156.8,-68.55,90.0,top
R8,133.414,-113.284,270.0,bottom
R9,135.414,-113.284,270.0,bottom
SW1,153.162,-123.75,0.0,top
U1,152.45,-91.45,180.0,top
U2,134.75,-68.2,180.0,top
U3,135.0,-91.6,270.0,bottom
U4,138.938,-121.562,0.0,bottom
U6,155.15,-68.55,90.0,top
U7,159.4,-68.35,180.0,top
USBC1,148.2,-66.6,180.0,top
X1,141.65,-91.38,90.0,bottom
X2,141.75,-95.83,90.0,bottom
